id,tweet_id,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts
167435593,1179924368908060000,19,116,0.2857,0.5357,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179918411549280000,241,109,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179909586658180000,56,32,-0.1037,0.1926,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179908995915620000,285,235,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179906936382340000,11,103,0.0651,0.4123,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179895881698560000,7,224,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179865908304590000,448,255,0.2179,0.4179,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179862757438620000,3,113,0.0651,0.4123,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179829931083060000,23,71,-0.0152,0.3333,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179809389198410000,28,124,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179802371175650000,462,208,0.3222,0.6444,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179790714869300000,20,90,0.0651,0.4123,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179777344384520000,112,172,0.4250,0.6250,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179761964144340000,68,237,-0.0778,0.1944,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179600343484780000,467,112,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179592327641350000,50,114,0.2857,0.5357,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1179579100865930000,746,109,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
